lat,lng,name,vicinity,Type1,Type2,Type3,Type4,Type5,Type6,rating,user_ratings_total,price_level
41.4031585,-72.4503918,Norwich Financial LLC,"4 Water Street # 2, Chester",health,point_of_interest,establishment,NA,NA,NA,0,0,0
41.457921,-72.425856,The Old Sindelar Farm,"61 Petticoat Lane, East Haddam",health,point_of_interest,establishment,NA,NA,NA,4,4,0
41.4031585,-72.4503918,Technika Inc,"4 Water Street, Chester",health,point_of_interest,establishment,NA,NA,NA,0,0,0
41.3975252,-72.4328617,Connecticut Transition Academy at Deep River,"135 Kirtland Street #1816, Deep River",health,point_of_interest,establishment,NA,NA,NA,2.8,4,0
41.3860099,-72.4356601,Celebrations,"161 Main Street, Deep River",health,store,point_of_interest,establishment,NA,NA,5,6,0
41.4223993,-72.3998741,Hadlyme Country Market,"1 Ferry Road, Hadlyme",health,point_of_interest,establishment,NA,NA,NA,4.6,164,2
41.4201299,-72.4451559,Chester Police Department,"203 Middlesex Turnpike, Chester",health,point_of_interest,establishment,NA,NA,NA,0,0,0
41.408139,-72.4402065,Stalefish Board Company,"122 Middlesex Turnpike, Chester",health,point_of_interest,establishment,NA,NA,NA,0,0,0
41.4355117,-72.4134882,East Haddam Veterinary Clinic,"105 Town Street #1424, East Haddam",health,point_of_interest,establishment,NA,NA,NA,4.8,59,0
41.5034351,-72.4757767,East Haddam,East Haddam,health,point_of_interest,establishment,NA,NA,NA,0,0,0
41.4127959,-72.4435704,Chester Fairground,"11 Kirtland Terrace, Chester",health,point_of_interest,establishment,NA,NA,NA,4.3,105,0
41.4027888,-72.4405509,Infinity Music Therapy Services,"27 Old Depot Road, Chester",health,point_of_interest,establishment,NA,NA,NA,5,1,0
41.406964,-72.38863,A & D Woodcraft,"100 Mitchell Hill Road, Lyme",health,point_of_interest,establishment,NA,NA,NA,0,0,0
41.4041011,-72.4512748,Creative Wellness Center,"15 North Main Street, Chester",health,point_of_interest,establishment,NA,NA,NA,0,0,0
41.422889,-72.3983656,Lyme Fire Company - Hadlyme Station,Hadlyme,health,point_of_interest,establishment,NA,NA,NA,0,0,0
41.4201299,-72.4451559,Town Clerks Office,"203 Middlesex Turnpike, Chester",health,point_of_interest,establishment,NA,NA,NA,0,0,0
41.4075306,-72.3850337,Apollo Marketing Solutions LLC,"101 Mitchell Hill Road, Lyme",health,point_of_interest,establishment,NA,NA,NA,0,0,0
41.4201299,-72.4451559,Tax Collector,"203 Middlesex Turnpike, Chester",health,point_of_interest,establishment,NA,NA,NA,3.7,3,0
41.4227087,-72.40033,Integrated Health Counseling,"6 Town Street, Hadlyme",health,store,point_of_interest,establishment,NA,NA,0,0,0
41.4196462,-72.4276185,H P Broom Housewright INC,"162 Ferry Road, Hadlyme",health,point_of_interest,establishment,NA,NA,NA,5,1,0
41.4315649,-72.4055407,Hadlyme Congregational Church,"47 Town Street, East Haddam",health,point_of_interest,establishment,NA,NA,NA,5,2,0
41.4144135,-72.4464044,Doggie Doody,"33 Kings Highway, Chester",health,point_of_interest,establishment,NA,NA,NA,5,1,0
41.4221625,-72.398128,Country Lawn & Garden Landscape,"4 Brush Hill Road, Old Lyme",health,point_of_interest,establishment,NA,NA,NA,0,0,0
41.4203237,-72.4390747,New England Fine Woodworking,"37 Castle View Drive, Chester",health,point_of_interest,establishment,NA,NA,NA,0,0,0
41.4187561,-72.4442329,Noyes Vogt Architects Inc,"191 Middlesex Turnpike, Chester",health,point_of_interest,establishment,NA,NA,NA,4,1,0
41.4212112,-72.4106445,Hadlyme Public Hall,"63 Ferry Road, Lyme",health,point_of_interest,establishment,NA,NA,NA,4.7,7,0
41.4258609,-72.4066706,R.M. Lagace & Sons Inc.,"7 Banning Road, East Haddam",health,point_of_interest,store,establishment,NA,NA,5,4,0
41.4316503,-72.4066351,Little Marketing Genius,"97 Bone Mill Road, East Haddam",home_goods_store,store,point_of_interest,establishment,NA,NA,5,9,0
41.435087,-72.41573,Heritage Painting & Restoration LLC,"116 Hemlock Valley Road, East Haddam",home_goods_store,store,point_of_interest,establishment,NA,NA,0,0,0
41.431158,-72.426565,Free Flight Robotics,"60 River Road, East Haddam",home_goods_store,store,point_of_interest,establishment,NA,NA,0,0,0
41.4201299,-72.4451559,First Selectman,"203 Middlesex Turnpike, Chester",home_goods_store,park,store,point_of_interest,establishment,NA,0,0,0
41.4314132,-72.4290199,Friends Of Gillette Castle,"67 River Road, East Haddam",home_goods_store,park,store,point_of_interest,establishment,NA,5,1,0
41.4224524,-72.3998484,United States Postal Service,"1 Ferry Road, Hadlyme",home_goods_store,general_contractor,point_of_interest,store,establishment,NA,4.7,3,0
41.439615,-72.432931,Franklin Academy,"140 River Road, East Haddam",home_goods_store,point_of_interest,store,establishment,NA,NA,3.2,13,0
41.452976,-72.4117289,Barn Raisers,"178 Petticoat Lane, East Haddam",home_goods_store,point_of_interest,store,establishment,NA,NA,5,6,0
41.425779,-72.4485957,ESSEX Motorsports International,"244 Middlesex Turnpike, Chester",hospital,health,point_of_interest,establishment,NA,NA,0,0,0
41.4201299,-72.4451559,Parks & Recreation,"203 Middlesex Turnpike, Chester",hospital,health,point_of_interest,establishment,NA,NA,0,0,0
41.42013,-72.445156,Essex Savings Bank - Chester Branch,"203 Middlesex Turnpike, Chester",hospital,health,point_of_interest,establishment,NA,NA,3.8,4,0
41.4057861,-72.4316802,Maritime Boat Sales,"72 Railroad Avenue, Chester",hospital,health,point_of_interest,establishment,NA,NA,0,0,0
41.4114944,-72.4404065,Moravelas Pizzeria,"139 Middlesex Turnpike, Chester",hospital,point_of_interest,health,establishment,NA,NA,4.6,414,1
41.4454306,-72.4351375,Chapman Pond Preserve,"187 River Road, East Haddam",hospital,point_of_interest,health,establishment,NA,NA,4.9,14,0
41.4058505,-72.4506743,Cummings & Good,"8 East Liberty Street, Chester",hospital,health,point_of_interest,establishment,NA,NA,5,1,0
41.4151359,-72.4517364,Logoturn,"64 Goose Hill Road, Chester",hospital,health,point_of_interest,establishment,NA,NA,0,0,0
41.3986719,-72.4113188,Selden Neck State Park/Natural Area Preserve,Lyme,hospital,doctor,health,point_of_interest,establishment,NA,4.2,5,0
41.3844479,-72.4355235,Walgreens,"180 Main Street, Deep River",hospital,health,point_of_interest,establishment,NA,NA,3.3,16,2
41.3994727,-72.441472,Fox & Co Inc,"1 Gilbert Hill Road, Chester",hospital,health,point_of_interest,establishment,NA,NA,0,0,0
41.4026631,-72.4499628,High Ridge Capital LLC,"39 Main Street, Chester",hospital,health,point_of_interest,establishment,NA,NA,0,0,0
41.4153164,-72.3754358,Russell Guerin Architect,"150 Brush Hill Road, Lyme",hospital,health,point_of_interest,establishment,NA,NA,0,0,0
41.4021913,-72.4474603,"Stark Agency, A Division of World Insurance Associates LLC","91 Main Street, Chester",hospital,health,point_of_interest,establishment,NA,NA,5,2,0
41.4040832,-72.4490826,R J Vickers Herbery,"26 Water Street, Chester",hospital,doctor,health,point_of_interest,establishment,NA,4.8,19,0
41.6717648,-72.9492703,Bristol,Bristol,hospital,health,point_of_interest,establishment,NA,NA,0,0,0
41.6535232,-72.9126227,"DoubleTree by Hilton Hotel Bristol, Connecticut","42 Century Drive, Bristol",hospital,health,point_of_interest,establishment,NA,NA,4.4,1016,0
41.6087404,-72.8998178,Residence Inn by Marriott Southington,"778 West Street, Southington",hospital,health,point_of_interest,establishment,NA,NA,4.2,430,0
41.6318889,-72.87045,"Holiday Inn Express Southington, an IHG Hotel","Exit 32, 120 Laning Street I-84, Southington",hospital,health,point_of_interest,establishment,NA,NA,3.9,415,0
41.6342356,-72.8723688,"Motel 6 Southington, CT - Hartford","625 Queen Street, Southington",hospital,doctor,health,point_of_interest,establishment,NA,3.1,1044,0
41.6409674,-72.9195008,Lake Compounce,"185 Enterprise Drive, Southington",hospital,health,point_of_interest,establishment,NA,NA,4.3,5515,0
41.6359267,-72.8726477,Play It Again Sports,"685 Queen Street, Southington",hospital,point_of_interest,health,establishment,NA,NA,4.4,83,0
41.6292544,-72.8723506,Days Inn by Wyndham Southington,"30 Laning Street, Southington",hospital,point_of_interest,health,establishment,NA,NA,3.5,433,0
41.6280997,-72.8743694,Wood-n-Tap - Southington,"420 Queen Street, Southington",hospital,health,point_of_interest,establishment,NA,NA,4.2,1457,2
41.6289603,-72.8749478,"Manmeet Kaur, MD","462 Queen Street #303, Southington",hospital,health,point_of_interest,establishment,NA,NA,4.8,76,0
41.6178927,-72.9002362,"Homewood Suites by Hilton Southington, CT","1096 West Street, Southington",hospital,health,point_of_interest,establishment,NA,NA,4.5,708,0
41.6065469,-72.9048859,Southington Motor Lodge,"165 Jude Lane, Southington",hospital,health,point_of_interest,establishment,NA,NA,3.5,32,0
41.6112499,-72.9012749,Target,"600 Executive Boulevard South, Southington",hospital,point_of_interest,health,store,establishment,NA,4.3,476,2
41.6263142,-72.8741645,The UPS Store,"360-B Queen Street, Southington",hospital,doctor,health,point_of_interest,establishment,NA,3.9,144,0
41.6691836,-72.944241,Fisher Ballet Productions,"53 Main Street, Bristol",hospital,health,point_of_interest,establishment,NA,NA,0,0,0
41.6376827,-72.877763,3PL Worldwide‎,"75 Aircraft Road, Southington",hospital,health,point_of_interest,establishment,NA,NA,4.3,24,0
41.641249,-72.8744709,TD Bank,"900 Queen Street, Southington",hospital,doctor,health,point_of_interest,establishment,NA,1.9,32,0
41.6490184,-72.9026395,ESPN,"700 Birch Street, Bristol",hospital,doctor,health,point_of_interest,establishment,NA,4.1,123,0
41.6300985,-72.8791216,Pilgrim Furniture & Mattress City Southington,"55 Graham Place, Southington",hospital,health,point_of_interest,establishment,NA,NA,4.2,1128,0
41.5964869,-72.8776013,Southington,Southington,hospital,health,point_of_interest,establishment,NA,NA,0,0,0
41.6497859,-72.8713623,Brookside Pawn,"1226 Queen Street, Southington",hospital,point_of_interest,health,establishment,NA,NA,3.1,23,0
41.6373367,-72.8734574,AAA Tire & Auto Service - Southington,"755 Queen Street, Southington",hospital,health,point_of_interest,establishment,NA,NA,4.3,566,0
41.611711,-72.9040149,Lowes Home Improvement,"500 Executive Boulevard South, Southington",hospital,health,point_of_interest,establishment,NA,NA,4.2,941,1
41.607003,-72.900504,Cadillac Ranch Restaurant,"45 Jude Lane, Southington",hospital,doctor,health,point_of_interest,establishment,NA,4.1,465,2
41.6394663,-72.8711548,Bob’s Discount Furniture and Mattress Store,"835 Queen Street, Southington",hospital,health,point_of_interest,establishment,NA,NA,4.6,3158,0
41.6611609,-72.919172,Subway,"296 Middle Street, Bristol",insurance_agency,finance,health,point_of_interest,establishment,NA,4.1,56,1
41.637718,-72.8690865,The Home Depot,"89 Interstate Park Drive, Southington",insurance_agency,health,point_of_interest,establishment,NA,NA,4.1,570,1
41.635741,-72.87261,Subway,"685 Queen Street, Southington",insurance_agency,lawyer,real_estate_agency,point_of_interest,establishment,NA,3.6,38,1
41.6323189,-72.8792077,Gordon Corporation,"170 Spring Street, Southington",insurance_agency,health,point_of_interest,establishment,NA,NA,4.6,8,0
41.6548124,-72.9110817,Westfalia Inc,"625 Middle Street, Bristol",insurance_agency,point_of_interest,establishment,NA,NA,NA,5,3,0
41.628987,-72.8794922,Connecticut Appliance & Fireplace Distributors,"50 Graham Place, Southington",insurance_agency,finance,health,point_of_interest,establishment,NA,4.5,242,0
41.667868,-72.9189797,Bobs Sports Chalet,"91 Pine Street, Bristol",insurance_agency,point_of_interest,establishment,NA,NA,NA,3.5,249,0
41.6079852,-72.8993325,Subway,"738 West Street, Southington",insurance_agency,point_of_interest,establishment,NA,NA,NA,4,57,1
41.6322119,-72.8996836,Cava,"1615 West Street, Southington",insurance_agency,point_of_interest,establishment,NA,NA,NA,3.4,2732,3
41.6355484,-72.8749478,Buffalo Wild Wings,"774 Queen Street, Southington",insurance_agency,travel_agency,point_of_interest,establishment,NA,NA,4,659,2
41.6608438,-72.9200792,Johnson & Johnson,"48 Battisto Road, Bristol",insurance_agency,point_of_interest,establishment,NA,NA,NA,5,1,0
41.6233079,-72.8734932,Subway,"244 Queen Street, Southington",insurance_agency,health,point_of_interest,establishment,NA,NA,3.9,79,1
41.6234985,-72.8697521,Walmart,"235 Queen Street, Southington",insurance_agency,travel_agency,car_repair,point_of_interest,store,establishment,4,2302,1
41.6113679,-72.9018066,CVS Pharmacy,"600 Executive Boulevard South, Southington",jewelry_store,point_of_interest,store,establishment,NA,NA,4.7,7,0
41.6588463,-72.9171379,Powerhouse Gym Bristol,"400 Middle Street, Bristol",jewelry_store,finance,point_of_interest,store,establishment,NA,4.3,129,0
41.672447,-72.9125664,TD Bank,"414 Broad Street, Bristol",jewelry_store,clothing_store,point_of_interest,store,establishment,NA,3.4,21,0
41.6320771,-72.8779765,JoJo’s Gun Works,"122 Spring Street STE D9, Southington",jewelry_store,point_of_interest,store,establishment,NA,NA,4.4,94,0
41.6714279,-72.94336,"Thomas OShea, MD","15 Riverside Avenue, Bristol",jewelry_store,store,point_of_interest,establishment,NA,NA,5,2,0
41.6393565,-72.8733694,Outback Steakhouse,"817 Queen Street, Southington",jewelry_store,point_of_interest,store,establishment,NA,NA,4.4,2095,2
41.6769308,-72.9365776,"William Ramsey, MD","25 Newell Road Suite E36, Bristol",jewelry_store,point_of_interest,store,establishment,NA,NA,4,2,0
41.6524795,-72.8705634,Connecticut Stage & Movie Supply,"459 East Street, Plainville",jewelry_store,store,point_of_interest,establishment,NA,NA,3.7,39,0
41.6723868,-72.8940164,Silvana Dayspa & Salon,"102 East Main Street, Bristol",jewelry_store,point_of_interest,store,establishment,NA,NA,4.8,100,0
41.6715579,-72.9059536,Crowley Kia,"223 Broad Street, Bristol",lawyer,point_of_interest,establishment,NA,NA,NA,4.6,1204,0
41.6709561,-72.9394687,The Carousel Museum,"95 Riverside Avenue, Bristol",lawyer,point_of_interest,establishment,NA,NA,NA,4.6,394,0
41.6373748,-72.8751344,Petco,"760 Queen Street, Southington",lawyer,point_of_interest,establishment,NA,NA,NA,4.1,624,2
41.6728855,-72.9284698,Huntington Woods,"200 Blakeslee Street, Bristol",lawyer,point_of_interest,establishment,NA,NA,NA,4.1,23,0
41.6388021,-72.8748233,Starbucks,"812 Queen Street, Southington",lawyer,point_of_interest,establishment,NA,NA,NA,4.1,566,2
41.6466271,-72.8726979,Somewhere In Bangkok,"1103 Queen Street Unit 1, Southington",lawyer,point_of_interest,establishment,NA,NA,NA,4.5,534,2
41.6227819,-72.8736518,VIP Very Intimate Pleasures,"228 Queen Street, Southington",lawyer,point_of_interest,establishment,NA,NA,NA,3.9,145,0
41.6358897,-72.8749405,Moes Southwest Grill,"720 Queen Street, Southington",lawyer,point_of_interest,establishment,NA,NA,NA,3.9,338,1
41.6406965,-72.8725863,T.J. Maxx,"875 Queen Street, Southington",lawyer,point_of_interest,establishment,NA,NA,NA,4.2,482,1
41.6659093,-72.9228151,ALDI,"110 Middle Street, Bristol",lawyer,point_of_interest,establishment,NA,NA,NA,4.5,1050,1
41.6112499,-72.9012749,Target Mobile,"600 Executive Boulevard South, Southington",lawyer,point_of_interest,establishment,NA,NA,NA,4.5,6,2
41.6775662,-72.9142998,Hartford County Tattoo,"253 West Washington Street, Bristol",lawyer,point_of_interest,establishment,NA,NA,NA,4.8,336,0
41.6699309,-72.9458287,"Imagine Nation, A Museum Early Learning Center","1 Pleasant Street, Bristol",lawyer,point_of_interest,establishment,NA,NA,NA,4.2,60,0
41.3358915,-71.9058854,Stonington,Stonington,lawyer,point_of_interest,establishment,NA,NA,NA,0,0,0
41.3717152,-71.9536998,Hilton Mystic,"20 Coogan Boulevard, Mystic",lawyer,point_of_interest,establishment,NA,NA,NA,4.1,1376,0
41.3710961,-71.9599762,Hyatt Place Mystic,"224 Greenmanville Avenue, Mystic",lawyer,point_of_interest,establishment,NA,NA,NA,4.2,575,0
41.3544391,-71.9674611,The Whalers Inn,"20 East Main Street, Mystic",lawyer,point_of_interest,establishment,NA,NA,NA,4.6,318,0
41.3736695,-71.9613902,Howard Johnson by Wyndham Mystic,"253 Greenmanville Avenue, Mystic",lawyer,point_of_interest,establishment,NA,NA,NA,3.7,806,0
41.3782151,-71.9551304,Quality Inn Mystic-Groton,"48 Whitehall Avenue, Mystic",lawyer,point_of_interest,establishment,NA,NA,NA,3.6,684,0
41.3793501,-71.9580888,Days Inn by Wyndham Mystic CT,"55 Whitehall Avenue, Mystic",lawyer,point_of_interest,establishment,NA,NA,NA,3.4,789,0
41.3774325,-71.9585844,Hampton Inn & Suites Mystic,"6 Hendel Drive, Mystic",lawyer,point_of_interest,establishment,NA,NA,NA,4.3,758,0
41.3775473,-71.9565871,Residence Inn by Marriott Mystic Groton,"40 Whitehall Avenue, Mystic",lawyer,point_of_interest,establishment,NA,NA,NA,4.1,550,0
41.3480354,-71.9561642,Taber Inn Mystic,"66 Williams Avenue, Mystic",lawyer,point_of_interest,establishment,NA,NA,NA,4.5,257,0
41.3599682,-71.9636479,Mystic Seaport Museum,"75 Greenmanville Avenue, Mystic",lawyer,point_of_interest,establishment,NA,NA,NA,4.6,3779,0
41.3733894,-71.9526649,Mystic Aquarium,"55 Coogan Boulevard, Mystic",lawyer,point_of_interest,establishment,NA,NA,NA,4.4,13335,0
41.3508911,-71.9595642,Inn at Mystic,"3 Williams Avenue, Mystic",lawyer,point_of_interest,establishment,NA,NA,NA,4.1,713,0
41.3736292,-71.9577254,Olde Mistick Village,"27 Coogan Boulevard, Mystic",lawyer,point_of_interest,establishment,NA,NA,NA,4.6,5068,0
41.3718773,-71.9584469,"Holiday Inn Express Mystic - Groton Area, an IHG Hotel","6 Coogan Boulevard, Mystic",lawyer,point_of_interest,establishment,NA,NA,NA,4.2,518,0
41.3776296,-71.9572996,Whitehall Mansion inn,"42 Whitehall Avenue, Mystic",lawyer,point_of_interest,establishment,NA,NA,NA,3,16,0
41.37312,-71.9616489,Rodeway Inn Mystic,"251 Greenmanville Avenue, Mystic",lawyer,point_of_interest,establishment,NA,NA,NA,3.4,328,0
41.3990182,-71.9539011,"Clydes Cider Mill (seasonal) Opens Sept. 1, 2022","129 North Stonington Road, Mystic",library,point_of_interest,establishment,NA,NA,NA,4.6,557,0
41.354434,-71.9693223,Steamboat Inn,"73 Steamboat Wharf, Mystic",library,point_of_interest,establishment,NA,NA,NA,4.7,128,0
41.3497456,-72.0790717,Groton,Groton,library,point_of_interest,establishment,NA,NA,NA,0,0,0
41.3509778,-71.9721333,Captain Daniel Packer Inne,"32 Water Street, Mystic",library,point_of_interest,establishment,NA,NA,NA,4.5,1277,2
41.3730087,-71.955923,2400 Degrees F,"27 Coogan Boulevard #13, Mystic",library,point_of_interest,establishment,NA,NA,NA,4.7,3,0
41.3732173,-71.9574269,Extra Virgin,"27 Coogan Boulevard #15d, Mystic",library,point_of_interest,establishment,NA,NA,NA,4.7,80,0
41.3730087,-71.955923,Raymond James Financial Services,"27 Coogan Boulevard Bldg # 21, Mystic",library,point_of_interest,establishment,NA,NA,NA,0,0,0
41.3791515,-71.9560473,Subway,"66 Whitehall Avenue, Mystic",library,point_of_interest,establishment,NA,NA,NA,4.3,96,1
41.3733651,-71.9575693,RE/MAX Coast and Country,"27 Coogan Boulevard #1-B, Mystic",liquor_store,store,food,point_of_interest,establishment,NA,5,4,0
41.350949,-71.959576,Rocks 21,"3 Williams Avenue, Mystic",local_government_office,point_of_interest,establishment,NA,NA,NA,3.9,420,2
41.3676979,-71.9401245,"Michael Fucci, DO","100 Perkins Farm Drive Suite 301, Mystic",local_government_office,point_of_interest,establishment,NA,NA,NA,4.5,10,0
41.3509248,-71.9631688,"Mystic, CT","2 Roosevelt Avenue U, U.S. 1, Mystic",local_government_office,point_of_interest,establishment,NA,NA,NA,4.6,16,0
41.345475,-71.958233,Ocean Community YMCA - Naik Family Branch Mystic,"1 Harry Austin Drive, Mystic",local_government_office,point_of_interest,establishment,NA,NA,NA,4.3,112,0
41.353144,-71.9712086,Mystic Museum of Art,"9 Water Street, Mystic",local_government_office,point_of_interest,establishment,NA,NA,NA,4.4,152,0
41.3729361,-71.9595587,Steak Loft Restaurant,"27 Coogan Boulevard #24, Mystic",local_government_office,point_of_interest,establishment,NA,NA,NA,3.9,1513,3
41.3732667,-71.9531564,ATM,"55 Coogan Boulevard, Mystic",local_government_office,point_of_interest,establishment,NA,NA,NA,0,0,0
41.3934145,-71.9617565,Somewhere In Time,"3175 Gold Star Highway, Mystic",local_government_office,point_of_interest,establishment,NA,NA,NA,4.5,806,2
41.3910571,-71.95986,Old Mystic Inn,"52 Main Street, Old Mystic",local_government_office,point_of_interest,establishment,NA,NA,NA,4.9,17,0
41.343465,-71.9476827,Go Fish Restaurant,"29 Old Stonington Road, Mystic",local_government_office,point_of_interest,establishment,NA,NA,NA,4.4,1017,2
41.3709857,-71.9568603,Floral Services,"14 Clara Drive, Mystic",local_government_office,point_of_interest,establishment,NA,NA,NA,0,0,0
41.3729825,-71.9560175,Eastern Regional Tourism District,"27 Coogan Boulevard # 3A, Mystic",local_government_office,point_of_interest,establishment,NA,NA,NA,0,0,0
41.3545985,-71.9671067,Bravo Bravo,"19 East Main Street, Mystic",local_government_office,point_of_interest,establishment,NA,NA,NA,4.5,487,0
41.3528444,-71.9719472,Oyster Club,"13 Water Street, Mystic",local_government_office,point_of_interest,establishment,NA,NA,NA,4.6,940,3
41.355084,-71.9671059,Anthony Js Bistro,"6 Holmes Street, Mystic",local_government_office,point_of_interest,establishment,NA,NA,NA,4.3,450,2
